Date,Temperature (°C),Humidity (%),Precipitation (mm),Soil Moisture (%),Irrigation Requirement (mm)
2022-01-01,25,70,0,50,10
2022-01-02,28,65,2,55,12
2022-01-03,24,75,0.5,48,8
2022-01-04,22,80,0,45,7
2022-01-05,26,72,0,52,11
2022-01-06,27,68,1,54,10
2022-01-07,23,78,0.3,47,9
2022-01-08,25,71,0,49,11
2022-01-09,26,73,0,53,10
2022-01-10,29,66,2.5,56,13
2022-01-11,27,69,0.8,51,10
2022-01-12,24,77,0,46,8
2022-01-13,26,74,0,54,11
2022-01-14,28,67,1.2,57,12
2022-01-15,25,72,0,50,9
2022-01-16,23,79,0.4,48,8
2022-01-17,27,70,0,52,11
2022-01-18,29,68,1.5,55,13
2022-01-19,26,75,0.6,53,10
2022-01-20,24,76,0,47,8
2022-01-21,28,66,2,58,12
2022-01-22,30,65,0,51,14
2022-01-23,27,71,0.7,54,11
2022-01-24,25,73,0,49,9
2022-01-25,23,80,0.2,45,7
2022-01-26,26,68,1,56,10
2022-01-27,28,67,0,52,12
2022-01-28,24,78,0,47,8
2022-01-29,27,72,0.5,53,11
2022-01-30,29,69,1.2,57,13
2022-01-31,26,76,0,50,9
2022-02-01,25,71,2.5,48,10
2022-02-02,28,67,0,55,12
2022-02-03,24,79,0,46,8
2022-02-04,26,73,1,54,11
2022-02-05,27,70,0,51,10
2022-02-06,23,81,0.3,48,7
2022-02-07,25,75,0,52,9
2022-02-08,28,68,1,56,12
2022-02-09,24,77,0.7,47,8
2022-02-10,26,72,0,54,10
2022-02-11,29,67,2,58,13
2022-02-12,27,70,0,50,11
2022-02-13,23,82,0.5,45,7
2022-02-14,25,73,0,53,9
2022-02-15,28,68,1.8,57,12
2022-02-16,24,80,0,46,8
2022-02-17,26,75,0.9,54,10
2022-02-18,27,71,0,51,11
2022-02-19,23,79,0.4,48,7
2022-02-20,25,74,0,52,9
2022-02-21,28,67,1.2,56,12
2022-02-22,30,66,0,49,14
2022-02-23,27,72,0.6,54,11
2022-02-24,25,76,0,50,9
2022-02-25,23,81,0.2,46,7
2022-02-26,26,69,0.8,55,10
2022-02-27,28,68,0,51,12
2022-02-28,24,78,0,47,8
2022-03-01,27,73,0.5,53,11
2022-03-02,29,68,1.3,57,13
2022-03-03,26,76,0,51,9
2022-03-04,25,71,2,49,10
2022-03-05,28,67,0,55,12
2022-03-06,24,79,0,47,8
2022-03-07,26,74,1,54,11
2022-03-08,27,70,0,51,10
2022-03-09,23,81,0.3,48,7
2022-03-10,25,75,0,52,9
2022-03-11,28,68,1.5,56,12
2022-03-12,30,67,0,49,14
2022-03-13,27,72,0.7,54,11
2022-03-14,25,76,0,50,9
2022-03-15,23,80,0.2,46,7
2022-03-16,26,69,0.9,55,10
2022-03-17,28,68,0,51,12
2022-03-18,24,78,0,47,8
2022-03-19,27,73,0.6,53,11
2022-03-20,29,68,1.2,57,13
